,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,price_per_km
1,Maruti Swift Dzire VDI,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,11,19230.76923076923
2,Skoda Rapid 1.5 TDI Ambition,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,11,17502.365184484388
3,Honda City 2017-2020 EXi,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,19,8926.553672316384
4,Hyundai i20 Sportz Diesel,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,15,9782.608695652174
5,Maruti Swift VXI BSIII,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,18,8074.534161490683
6,Hyundai Xcent 1.2 VTVT E Plus,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,8,21847.070506454816
7,Maruti Wagon R LXI DUO BSIII,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,18,5549.132947976878
8,Maruti 800 DX BSII,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,24,2795.0310559006207
9,Toyota Etios VXD,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,14,14836.79525222552
10,Ford Figo Diesel Celebration Edition,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,12,10000.0
11,Renault Duster 110PS Diesel RxL,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,11,26301.946344029457
12,Maruti Zen LX,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,20,5317.9190751445085
13,Maruti Swift Dzire VDi,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,16,14507.772020725388
14,Maruti Swift 1.3 VXi,200000,80000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1428.1927441027171,87.30303358208954,5.0,18,10299.306415242192
15,Maruti Wagon R LXI Minor,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,16,9523.809523809525
16,Mahindra KUV 100 mFALCON G80 K8 5str,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,9,22038.56749311295
17,Maruti Ertiga SHVS VDI,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,9,31729.200652528547
18,Hyundai i20 1.4 CRDi Asta,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,13,21739.130434782608
19,Maruti Alto LX,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,23,7614.213197969543
20,Hyundai i20 2015-2017 Asta 1.4 CRDi,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,9,30168.589174800356
21,Mahindra Verito 1.5 D4 BSIII,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,14,8285.714285714286
22,Honda WR-V i-DTEC VX,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,8,37254.901960784315
23,Maruti Swift Dzire ZDI,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,10,19744.264761188417
24,Maruti SX4 ZDI,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,13,27906.976744186046
25,Tata Tigor 2017-2020 XZ,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,7,24630.54187192118
26,Maruti Baleno Delta 1.2,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,9,26869.158878504673
27,Maruti Alto 800 LXI,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,8,11133.603238866397
